slug,md_path,found,proposed
requiredfieldvalidator-radcombobox,content/post/requiredfieldvalidator-radcombobox/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
intermittent-fasting-diet-benefits,content/post/intermittent-fasting-diet-benefits/index.md,3,"/images/resource?id=f6761147-7bbc-46c7-8570-63d69130785d-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
waking-up-early-get-things-done,content/post/waking-up-early-get-things-done/index.md,3,"/images/resource?id=23a6c1cd-c342-49b2-8e4e-d0d52ec66f4d-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
review-filco-majestouch2-tenkeyless-ninja,content/post/review-filco-majestouch2-tenkeyless-ninja/index.md,3,"/images/filcomajestouch_side-1.jpg, /images/filcomajestouch_back-1.jpg, /images/filcomajestouch_foot-1.jpg"
ergodox-ergonomic-keyboard-review,content/post/ergodox-ergonomic-keyboard-review/index.md,3,"/images/ergodox_side-1.jpg, /images/ergodox_front-1.jpg, /images/ergodox_aerial-1.jpg"
luck-surface-area,content/post/luck-surface-area/index.md,3,"/images/resource?id=1094fb00-cc60-4b2d-a427-44fee83372e7-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
log-http-requests,content/post/log-http-requests/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
ichigo-asp-net-blogging-engine,content/post/ichigo-asp-net-blogging-engine/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
set-connectionstring-runtime-dynamicdata,content/post/set-connectionstring-runtime-dynamicdata/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
upload-large-files-asp-net,content/post/upload-large-files-asp-net/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
get-radio-checked-js,content/post/get-radio-checked-js/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
call-async-method,content/post/call-async-method/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
salesforce-backup-organization-svn-git,content/post/salesforce-backup-organization-svn-git/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
getupandcode-podcast-review,content/post/getupandcode-podcast-review/index.md,3,"/images/resource?id=35a0565d-8f32-43a3-8334-fa0dc64144f1-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
sennheiser-hd-25-review,content/post/sennheiser-hd-25-review/index.md,3,"/images/sennheiser-hd-25-review-1.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
goal-blindness-goalodicy,content/post/goal-blindness-goalodicy/index.md,3,"/images/resource?id=2d1f1445-5bfa-4c22-9c69-7ab3cfb54d6f-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
aspnet-vnext-mac-os-omnisharp-kulture,content/post/aspnet-vnext-mac-os-omnisharp-kulture/index.md,3,"/images/aspnet_sublime_pkgmng_kulture-1.png, /images/aspnet_sublime_pkgmng_omnisharp-1.png, /images/AndreaAzzola_Website200x200-1.png"
review-10x-rule-grant-cardone,content/post/review-10x-rule-grant-cardone/index.md,3,"/images/resource?id=1d35b384-f05a-4132-8404-2c1ec239e21b-2.png, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
havisi-magic-emi,content/post/havisi-magic-emi/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
set-september-2010,content/post/set-september-2010/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
downsizing-home-and-earn-time-money,content/post/downsizing-home-and-earn-time-money/index.md,3,"/images/resource?id=6c2b1aa3-75e7-4e8f-94b5-11c32d12a835-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
seo-asp-net-routing,content/post/seo-asp-net-routing/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
set-june-2010,content/post/set-june-2010/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
set-november-2009,content/post/set-november-2009/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
what-is-geo-arbitrage,content/post/what-is-geo-arbitrage/index.md,3,"/images/resource?id=e471776d-e79d-48ee-a946-a86f9425b3a6-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
path-to-financial-independence,content/post/path-to-financial-independence/index.md,3,"/images/resource?id=eef7a2b1-8ab8-48f9-b490-395cb0240b7d-2.png, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
resource,content/post/resource/index.md,0,
set-february-2010,content/post/set-february-2010/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
human-multitasking,content/post/human-multitasking/index.md,3,"/images/resource?id=5822d560-d3ed-48e8-88b4-5d510acff456-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
mavensmate-unable-github-windows,content/post/mavensmate-unable-github-windows/index.md,3,"/images/resource?id=91ae0ec9-5a5f-4046-882e-0724d7875675-2.png, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
future-count-apex,content/post/future-count-apex/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
search-email-inbox-csharp,content/post/search-email-inbox-csharp/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
using-ajax-modalpopup-targetcontrol,content/post/using-ajax-modalpopup-targetcontrol/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
web-service-reference-vs,content/post/web-service-reference-vs/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
logging-nlog-sqlite,content/post/logging-nlog-sqlite/index.md,3,"/images/nlogsqlite_love-1.png, /images/nlogsqlite_nlog-1.png, /images/nlogsqlite_sqlite-1.png"
salesforce-debug-log-apex,content/post/salesforce-debug-log-apex/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
pomodoro-apps,content/post/pomodoro-apps/index.md,3,"/images/pomodoro_pomodairo-1.png, /images/pomodoro_pomodairo-collapsed-1.png, /images/pomodoro_focusbooster-1.png"
saving-traditional-wet-shaving,content/post/saving-traditional-wet-shaving/index.md,3,"/images/resource?id=6e367c2b-43a6-44bd-b251-713c99601469-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
multiple-columns-dynamic-data,content/post/multiple-columns-dynamic-data/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
clean-sp-cache-sql-server,content/post/clean-sp-cache-sql-server/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
privacy,content/privacy/index.md,0,
javascript-submit-post-form-data,content/it/javascript-submit-post-form-data/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
recensione-10x-rule-grant-cardone,content/it/recensione-10x-rule-grant-cardone/index.md,3,"/images/resource?id=1d35b384-f05a-4132-8404-2c1ec239e21b-2.png, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
goalodicy-obiettivo-distruttivo,content/it/goalodicy-obiettivo-distruttivo/index.md,3,"/images/resource?id=2d1f1445-5bfa-4c22-9c69-7ab3cfb54d6f-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
geo-arbitrage,content/it/geo-arbitrage/index.md,3,"/images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg, /images/linkedin-1.svg"
multitasking-umano,content/it/multitasking-umano/index.md,3,"/images/resource?id=5822d560-d3ed-48e8-88b4-5d510acff456-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
risparmio-rasatura-tradizionale,content/it/risparmio-rasatura-tradizionale/index.md,3,"/images/resource?id=6e367c2b-43a6-44bd-b251-713c99601469-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
downsizing-ridimensionamento-casa,content/it/downsizing-ridimensionamento-casa/index.md,3,"/images/resource?id=6c2b1aa3-75e7-4e8f-94b5-11c32d12a835-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
luck-surface-area,content/it/luck-surface-area/index.md,3,"/images/resource?id=1094fb00-cc60-4b2d-a427-44fee83372e7-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
preparazione-pasti-sacchetti-facile-veloce,content/it/preparazione-pasti-sacchetti-facile-veloce/index.md,3,"/images/resource?id=8f00cdb9-af64-4013-8d6a-8ceba633ddac-2.jpg, /images/resource?id=d2b396d2-fe28-4d7a-b35a-4267de1ff83b-2.jpg, /images/resource?id=d39084a3-1ab1-4174-adab-ecdfabe2a46e-2.jpg"
indipendenza-finanziaria-la-strada,content/it/indipendenza-finanziaria-la-strada/index.md,3,"/images/resource?id=eef7a2b1-8ab8-48f9-b490-395cb0240b7d-2.png, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
aspnet-vnext-mac-os-omnisharp-kulture,content/it/aspnet-vnext-mac-os-omnisharp-kulture/index.md,3,"/images/aspnet_sublime_pkgmng_kulture-1.png, /images/aspnet_sublime_pkgmng_omnisharp-1.png, /images/AndreaAzzola_Website200x200-1.png"
introduzione-personal-branding,content/it/introduzione-personal-branding/index.md,3,"/images/resource?id=73deb6aa-04af-4eef-9451-38eceeb59d39-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
svegliarsi-presto-mattina-come-perche,content/it/svegliarsi-presto-mattina-come-perche/index.md,3,"/images/resource?id=23a6c1cd-c342-49b2-8e4e-d0d52ec66f4d-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
robo-advisor-consulenza-per-investire,content/it/robo-advisor-consulenza-per-investire/index.md,3,"/images/resource?id=02bd0078-9f37-47d2-af8d-16998080b639-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
dieta-digiuno-intermittente,content/it/dieta-digiuno-intermittente/index.md,3,"/images/resource?id=f6761147-7bbc-46c7-8570-63d69130785d-2.jpg, /images/AndreaAzzola_Website200x200-1.png, /images/twitter-1.svg"
logging-nlog-sqlite,content/it/logging-nlog-sqlite/index.md,3,"/images/nlogsqlite_love-1.png, /images/nlogsqlite_nlog-1.png, /images/nlogsqlite_sqlite-1.png"
reads,content/reads/index.md,0,
